job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][78.8%][r=3402MiB/s][r=27.2k IOPS][eta 01m:00s]Jobs: 1 (f=1): [R(1)][79.2%][r=3405MiB/s][r=27.2k IOPS][eta 00m:59s] 
Jobs: 1 (f=1): [R(1)][79.5%][r=3394MiB/s][r=27.1k IOPS][eta 00m:58s]Jobs: 1 (f=1): [R(1)][79.9%][r=3411MiB/s][r=27.3k IOPS][eta 00m:57s] 
Jobs: 1 (f=1): [R(1)][80.2%][r=3407MiB/s][r=27.3k IOPS][eta 00m:56s]Jobs: 1 (f=1): [R(1)][80.6%][r=3411MiB/s][r=27.3k IOPS][eta 00m:55s] 
Jobs: 1 (f=1): [R(1)][80.9%][r=3413MiB/s][r=27.3k IOPS][eta 00m:54s]Jobs: 1 (f=1): [R(1)][81.3%][r=3405MiB/s][r=27.2k IOPS][eta 00m:53s] 
Jobs: 1 (f=1): [R(1)][81.6%][r=3415MiB/s][r=27.3k IOPS][eta 00m:52s]Jobs: 1 (f=1): [R(1)][82.0%][r=3395MiB/s][r=27.2k IOPS][eta 00m:51s] 
Jobs: 1 (f=1): [R(1)][82.3%][r=3393MiB/s][r=27.1k IOPS][eta 00m:50s]Jobs: 1 (f=1): [R(1)][82.7%][r=3399MiB/s][r=27.2k IOPS][eta 00m:49s] 
Jobs: 1 (f=1): [R(1)][83.0%][r=3398MiB/s][r=27.2k IOPS][eta 00m:48s]Jobs: 1 (f=1): [R(1)][83.4%][r=3395MiB/s][r=27.2k IOPS][eta 00m:47s] 
Jobs: 1 (f=1): [R(1)][83.7%][r=3377MiB/s][r=27.0k IOPS][eta 00m:46s]Jobs: 1 (f=1): [R(1)][84.1%][r=3405MiB/s][r=27.2k IOPS][eta 00m:45s] 
Jobs: 1 (f=1): [R(1)][84.5%][r=3405MiB/s][r=27.2k IOPS][eta 00m:44s]Jobs: 1 (f=1): [R(1)][84.8%][r=3399MiB/s][r=27.2k IOPS][eta 00m:43s] 
Jobs: 1 (f=1): [R(1)][85.2%][r=3427MiB/s][r=27.4k IOPS][eta 00m:42s]Jobs: 1 (f=1): [R(1)][85.5%][r=3413MiB/s][r=27.3k IOPS][eta 00m:41s] 
Jobs: 1 (f=1): [R(1)][85.9%][r=3410MiB/s][r=27.3k IOPS][eta 00m:40s]Jobs: 1 (f=1): [R(1)][86.2%][r=3413MiB/s][r=27.3k IOPS][eta 00m:39s] 
Jobs: 1 (f=1): [R(1)][86.6%][r=3419MiB/s][r=27.3k IOPS][eta 00m:38s]Jobs: 1 (f=1): [R(1)][86.9%][r=3391MiB/s][r=27.1k IOPS][eta 00m:37s] 
Jobs: 1 (f=1): [R(1)][87.3%][r=3403MiB/s][r=27.2k IOPS][eta 00m:36s]Jobs: 1 (f=1): [R(1)][87.6%][r=3407MiB/s][r=27.3k IOPS][eta 00m:35s] 
Jobs: 1 (f=1): [R(1)][88.0%][r=3409MiB/s][r=27.3k IOPS][eta 00m:34s]Jobs: 1 (f=1): [R(1)][88.3%][r=3421MiB/s][r=27.4k IOPS][eta 00m:33s] 
