job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][9.1%][w=442MiB/s][w=3535 IOPS][eta 36m:20s]Jobs: 1 (f=1): [W(1)][9.1%][w=443MiB/s][w=3546 IOPS][eta 36m:18s] 
Jobs: 1 (f=1): [W(1)][9.1%][w=438MiB/s][w=3501 IOPS][eta 36m:17s]Jobs: 1 (f=1): [W(1)][9.2%][w=438MiB/s][w=3502 IOPS][eta 36m:15s] 
Jobs: 1 (f=1): [W(1)][9.2%][w=443MiB/s][w=3541 IOPS][eta 36m:13s]Jobs: 1 (f=1): [W(1)][9.3%][w=441MiB/s][w=3526 IOPS][eta 36m:11s] 
Jobs: 1 (f=1): [W(1)][9.3%][w=437MiB/s][w=3493 IOPS][eta 36m:09s]Jobs: 1 (f=1): [W(1)][9.4%][w=443MiB/s][w=3542 IOPS][eta 36m:07s] 
Jobs: 1 (f=1): [W(1)][9.4%][w=444MiB/s][w=3553 IOPS][eta 36m:06s]Jobs: 1 (f=1): [W(1)][9.5%][w=433MiB/s][w=3466 IOPS][eta 36m:04s] 
Jobs: 1 (f=1): [W(1)][9.5%][w=441MiB/s][w=3529 IOPS][eta 36m:02s]Jobs: 1 (f=1): [W(1)][9.5%][w=444MiB/s][w=3552 IOPS][eta 36m:00s] 
Jobs: 1 (f=1): [W(1)][9.6%][w=432MiB/s][w=3458 IOPS][eta 35m:59s]Jobs: 1 (f=1): [W(1)][9.6%][w=446MiB/s][w=3569 IOPS][eta 35m:57s] 
Jobs: 1 (f=1): [W(1)][9.7%][w=442MiB/s][w=3538 IOPS][eta 35m:55s]Jobs: 1 (f=1): [W(1)][9.7%][w=435MiB/s][w=3477 IOPS][eta 35m:53s] 
Jobs: 1 (f=1): [W(1)][9.8%][w=446MiB/s][w=3567 IOPS][eta 35m:51s]Jobs: 1 (f=1): [W(1)][9.8%][w=444MiB/s][w=3552 IOPS][eta 35m:49s] 
Jobs: 1 (f=1): [W(1)][9.9%][w=435MiB/s][w=3477 IOPS][eta 35m:48s]Jobs: 1 (f=1): [W(1)][9.9%][w=445MiB/s][w=3563 IOPS][eta 35m:46s] 
Jobs: 1 (f=1): [W(1)][10.0%][w=445MiB/s][w=3557 IOPS][eta 35m:44s]Jobs: 1 (f=1): [W(1)][10.0%][w=437MiB/s][w=3492 IOPS][eta 35m:42s] 
Jobs: 1 (f=1): [W(1)][10.0%][w=444MiB/s][w=3550 IOPS][eta 35m:41s]Jobs: 1 (f=1): [W(1)][10.1%][w=445MiB/s][w=3560 IOPS][eta 35m:39s] 
Jobs: 1 (f=1): [W(1)][10.1%][w=439MiB/s][w=3515 IOPS][eta 35m:37s]Jobs: 1 (f=1): [W(1)][10.2%][w=442MiB/s][w=3538 IOPS][eta 35m:35s] 
Jobs: 1 (f=1): [W(1)][10.2%][w=444MiB/s][w=3555 IOPS][eta 35m:34s]Jobs: 1 (f=1): [W(1)][10.3%][w=440MiB/s][w=3521 IOPS][eta 35m:32s] 
Jobs: 1 (f=1): [W(1)][10.3%][w=440MiB/s][w=3523 IOPS][eta 35m:30s]Jobs: 1 (f=1): [W(1)][10.4%][w=445MiB/s][w=3558 IOPS][eta 35m:28s] 
Jobs: 1 (f=1): [W(1)][10.4%][w=442MiB/s][w=3537 IOPS][eta 35m:27s]Jobs: 1 (f=1): [W(1)][10.5%][w=442MiB/s][w=3536 IOPS][eta 35m:25s] 
Jobs: 1 (f=1): [W(1)][10.5%][w=443MiB/s][w=3546 IOPS][eta 35m:23s]Jobs: 1 (f=1): [W(1)][10.5%][w=447MiB/s][w=3572 IOPS][eta 35m:22s] 
Jobs: 1 (f=1): [W(1)][10.6%][w=438MiB/s][w=3504 IOPS][eta 35m:20s]Jobs: 1 (f=1): [W(1)][10.6%][w=444MiB/s][w=3550 IOPS][eta 35m:18s] 
Jobs: 1 (f=1): [W(1)][10.7%][w=447MiB/s][w=3573 IOPS][eta 35m:16s]Jobs: 1 (f=1): [W(1)][10.7%][w=437MiB/s][w=3497 IOPS][eta 35m:15s] 
Jobs: 1 (f=1): [W(1)][10.8%][w=444MiB/s][w=3549 IOPS][eta 35m:13s]Jobs: 1 (f=1): [W(1)][10.8%][w=446MiB/s][w=3571 IOPS][eta 35m:11s] 
Jobs: 1 (f=1): [W(1)][10.9%][w=437MiB/s][w=3493 IOPS][eta 35m:10s]Jobs: 1 (f=1): [W(1)][10.9%][w=446MiB/s][w=3569 IOPS][eta 35m:08s] 
