job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][16.2%][w=436MiB/s][w=3490 IOPS][eta 15m:36s]Jobs: 1 (f=1): [W(1)][16.3%][w=441MiB/s][w=3529 IOPS][eta 15m:35s] 
Jobs: 1 (f=1): [W(1)][16.4%][w=445MiB/s][w=3556 IOPS][eta 15m:34s]Jobs: 1 (f=1): [W(1)][16.5%][w=440MiB/s][w=3523 IOPS][eta 15m:33s] 
Jobs: 1 (f=1): [W(1)][16.6%][w=439MiB/s][w=3513 IOPS][eta 15m:32s]Jobs: 1 (f=1): [W(1)][16.7%][w=444MiB/s][w=3555 IOPS][eta 15m:31s] 
Jobs: 1 (f=1): [W(1)][16.7%][w=442MiB/s][w=3535 IOPS][eta 15m:30s]Jobs: 1 (f=1): [W(1)][16.8%][w=439MiB/s][w=3508 IOPS][eta 15m:29s] 
Jobs: 1 (f=1): [W(1)][16.9%][w=446MiB/s][w=3564 IOPS][eta 15m:27s]Jobs: 1 (f=1): [W(1)][17.0%][w=443MiB/s][w=3542 IOPS][eta 15m:26s] 
Jobs: 1 (f=1): [W(1)][17.1%][w=439MiB/s][w=3511 IOPS][eta 15m:25s]Jobs: 1 (f=1): [W(1)][17.2%][w=443MiB/s][w=3540 IOPS][eta 15m:24s] 
Jobs: 1 (f=1): [W(1)][17.3%][w=446MiB/s][w=3569 IOPS][eta 15m:23s]Jobs: 1 (f=1): [W(1)][17.4%][w=434MiB/s][w=3475 IOPS][eta 15m:22s] 
Jobs: 1 (f=1): [W(1)][17.5%][w=443MiB/s][w=3542 IOPS][eta 15m:21s]Jobs: 1 (f=1): [W(1)][17.6%][w=447MiB/s][w=3576 IOPS][eta 15m:20s] 
Jobs: 1 (f=1): [W(1)][17.7%][w=436MiB/s][w=3484 IOPS][eta 15m:19s]Jobs: 1 (f=1): [W(1)][17.7%][w=445MiB/s][w=3561 IOPS][eta 15m:18s] 
Jobs: 1 (f=1): [W(1)][17.8%][w=445MiB/s][w=3563 IOPS][eta 15m:17s]Jobs: 1 (f=1): [W(1)][17.9%][w=436MiB/s][w=3488 IOPS][eta 15m:16s] 
Jobs: 1 (f=1): [W(1)][18.0%][w=445MiB/s][w=3563 IOPS][eta 15m:15s]Jobs: 1 (f=1): [W(1)][18.1%][w=445MiB/s][w=3562 IOPS][eta 15m:14s] 
Jobs: 1 (f=1): [W(1)][18.2%][w=436MiB/s][w=3489 IOPS][eta 15m:13s]Jobs: 1 (f=1): [W(1)][18.3%][w=446MiB/s][w=3568 IOPS][eta 15m:12s] 
Jobs: 1 (f=1): [W(1)][18.4%][w=445MiB/s][w=3558 IOPS][eta 15m:11s]Jobs: 1 (f=1): [W(1)][18.5%][w=437MiB/s][w=3494 IOPS][eta 15m:10s] 
Jobs: 1 (f=1): [W(1)][18.5%][w=443MiB/s][w=3541 IOPS][eta 15m:09s]Jobs: 1 (f=1): [W(1)][18.6%][w=446MiB/s][w=3565 IOPS][eta 15m:08s] 
Jobs: 1 (f=1): [W(1)][18.7%][w=437MiB/s][w=3496 IOPS][eta 15m:07s]Jobs: 1 (f=1): [W(1)][18.8%][w=444MiB/s][w=3550 IOPS][eta 15m:05s] 
Jobs: 1 (f=1): [W(1)][18.9%][w=446MiB/s][w=3567 IOPS][eta 15m:04s]Jobs: 1 (f=1): [W(1)][19.0%][w=439MiB/s][w=3513 IOPS][eta 15m:03s] 
Jobs: 1 (f=1): [W(1)][19.1%][w=443MiB/s][w=3544 IOPS][eta 15m:02s]Jobs: 1 (f=1): [W(1)][19.2%][w=446MiB/s][w=3569 IOPS][eta 15m:01s] 
Jobs: 1 (f=1): [W(1)][19.3%][w=441MiB/s][w=3529 IOPS][eta 15m:00s]Jobs: 1 (f=1): [W(1)][19.4%][w=442MiB/s][w=3539 IOPS][eta 14m:59s] 
Jobs: 1 (f=1): [W(1)][19.5%][w=446MiB/s][w=3565 IOPS][eta 14m:58s]Jobs: 1 (f=1): [W(1)][19.6%][w=442MiB/s][w=3534 IOPS][eta 14m:57s] 
Jobs: 1 (f=1): [W(1)][19.6%][w=440MiB/s][w=3523 IOPS][eta 14m:56s]Jobs: 1 (f=1): [W(1)][19.7%][w=446MiB/s][w=3565 IOPS][eta 14m:55s] 
Jobs: 1 (f=1): [W(1)][19.8%][w=444MiB/s][w=3550 IOPS][eta 14m:54s]Jobs: 1 (f=1): [W(1)][19.9%][w=440MiB/s][w=3521 IOPS][eta 14m:53s] 
Jobs: 1 (f=1): [W(1)][20.0%][w=446MiB/s][w=3567 IOPS][eta 14m:52s]Jobs: 1 (f=1): [W(1)][20.1%][w=444MiB/s][w=3555 IOPS][eta 14m:51s] 
Jobs: 1 (f=1): [W(1)][20.2%][w=442MiB/s][w=3537 IOPS][eta 14m:50s]Jobs: 1 (f=1): [W(1)][20.3%][w=445MiB/s][w=3556 IOPS][eta 14m:49s] 
Jobs: 1 (f=1): [W(1)][20.4%][w=445MiB/s][w=3559 IOPS][eta 14m:47s]Jobs: 1 (f=1): [W(1)][20.5%][w=441MiB/s][w=3529 IOPS][eta 14m:46s] 
Jobs: 1 (f=1): [W(1)][20.6%][w=443MiB/s][w=3542 IOPS][eta 14m:45s]Jobs: 1 (f=1): [W(1)][20.6%][w=448MiB/s][w=3584 IOPS][eta 14m:44s] 
Jobs: 1 (f=1): [W(1)][20.7%][w=439MiB/s][w=3515 IOPS][eta 14m:43s]Jobs: 1 (f=1): [W(1)][20.8%][w=445MiB/s][w=3558 IOPS][eta 14m:42s] 
Jobs: 1 (f=1): [W(1)][20.9%][w=448MiB/s][w=3585 IOPS][eta 14m:41s]Jobs: 1 (f=1): [W(1)][21.0%][w=439MiB/s][w=3509 IOPS][eta 14m:40s] 
Jobs: 1 (f=1): [W(1)][21.1%][w=445MiB/s][w=3560 IOPS][eta 14m:39s]Jobs: 1 (f=1): [W(1)][21.2%][w=449MiB/s][w=3588 IOPS][eta 14m:38s] 
Jobs: 1 (f=1): [W(1)][21.3%][w=439MiB/s][w=3508 IOPS][eta 14m:37s]Jobs: 1 (f=1): [W(1)][21.4%][w=442MiB/s][w=3536 IOPS][eta 14m:36s] 
Jobs: 1 (f=1): [W(1)][21.5%][w=448MiB/s][w=3580 IOPS][eta 14m:35s]Jobs: 1 (f=1): [W(1)][21.5%][w=439MiB/s][w=3510 IOPS][eta 14m:34s] 
Jobs: 1 (f=1): [W(1)][21.6%][w=447MiB/s][w=3578 IOPS][eta 14m:33s]Jobs: 1 (f=1): [W(1)][21.7%][w=447MiB/s][w=3574 IOPS][eta 14m:32s] 
Jobs: 1 (f=1): [W(1)][21.8%][w=440MiB/s][w=3522 IOPS][eta 14m:31s]Jobs: 1 (f=1): [W(1)][21.9%][w=449MiB/s][w=3588 IOPS][eta 14m:30s] 
Jobs: 1 (f=1): [W(1)][22.0%][w=447MiB/s][w=3574 IOPS][eta 14m:28s]Jobs: 1 (f=1): [W(1)][22.1%][w=440MiB/s][w=3523 IOPS][eta 14m:27s] 
Jobs: 1 (f=1): [W(1)][22.2%][w=447MiB/s][w=3577 IOPS][eta 14m:26s]Jobs: 1 (f=1): [W(1)][22.3%][w=448MiB/s][w=3581 IOPS][eta 14m:25s] 
Jobs: 1 (f=1): [W(1)][22.4%][w=441MiB/s][w=3529 IOPS][eta 14m:24s]Jobs: 1 (f=1): [W(1)][22.5%][w=449MiB/s][w=3588 IOPS][eta 14m:23s] 
Jobs: 1 (f=1): [W(1)][22.6%][w=449MiB/s][w=3589 IOPS][eta 14m:22s]Jobs: 1 (f=1): [W(1)][22.6%][w=440MiB/s][w=3523 IOPS][eta 14m:21s] 
