job1: (g=0): rw=write, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [W(1)][8.7%][w=840MiB/s][w=6723 IOPS][eta 20m:42s]Jobs: 1 (f=1): [W(1)][8.8%][w=859MiB/s][w=6873 IOPS][eta 20m:39s] 
Jobs: 1 (f=1): [W(1)][8.9%][w=859MiB/s][w=6873 IOPS][eta 20m:35s]Jobs: 1 (f=1): [W(1)][9.0%][w=858MiB/s][w=6860 IOPS][eta 20m:32s] 
Jobs: 1 (f=1): [W(1)][9.1%][w=846MiB/s][w=6770 IOPS][eta 20m:29s]Jobs: 1 (f=1): [W(1)][9.2%][w=860MiB/s][w=6879 IOPS][eta 20m:26s] 
Jobs: 1 (f=1): [W(1)][9.3%][w=858MiB/s][w=6867 IOPS][eta 20m:23s]Jobs: 1 (f=1): [W(1)][9.4%][w=850MiB/s][w=6796 IOPS][eta 20m:20s] 
Jobs: 1 (f=1): [W(1)][9.4%][w=851MiB/s][w=6811 IOPS][eta 20m:18s]Jobs: 1 (f=1): [W(1)][9.5%][w=855MiB/s][w=6838 IOPS][eta 20m:15s] 
Jobs: 1 (f=1): [W(1)][9.6%][w=863MiB/s][w=6902 IOPS][eta 20m:12s]Jobs: 1 (f=1): [W(1)][9.7%][w=844MiB/s][w=6752 IOPS][eta 20m:09s] 
Jobs: 1 (f=1): [W(1)][9.8%][w=857MiB/s][w=6852 IOPS][eta 20m:06s]Jobs: 1 (f=1): [W(1)][9.9%][w=855MiB/s][w=6841 IOPS][eta 20m:04s] 
Jobs: 1 (f=1): [W(1)][10.0%][w=857MiB/s][w=6859 IOPS][eta 20m:01s]Jobs: 1 (f=1): [W(1)][10.1%][w=844MiB/s][w=6755 IOPS][eta 19m:58s] 
Jobs: 1 (f=1): [W(1)][10.1%][w=855MiB/s][w=6838 IOPS][eta 19m:56s]Jobs: 1 (f=1): [W(1)][10.2%][w=862MiB/s][w=6895 IOPS][eta 19m:53s] 
Jobs: 1 (f=1): [W(1)][10.3%][w=846MiB/s][w=6766 IOPS][eta 19m:51s]Jobs: 1 (f=1): [W(1)][10.4%][w=851MiB/s][w=6806 IOPS][eta 19m:48s] 
Jobs: 1 (f=1): [W(1)][10.5%][w=859MiB/s][w=6873 IOPS][eta 19m:46s]Jobs: 1 (f=1): [W(1)][10.6%][w=862MiB/s][w=6898 IOPS][eta 19m:43s] 
Jobs: 1 (f=1): [W(1)][10.7%][w=839MiB/s][w=6708 IOPS][eta 19m:41s]Jobs: 1 (f=1): [W(1)][10.8%][w=862MiB/s][w=6893 IOPS][eta 19m:38s] 
