job1: (g=0): rw=read, bs=(R) 128KiB-128KiB, (W) 128KiB-128KiB, (T) 128KiB-128KiB, ioengine=libaio, iodepth=8
fio-3.16
Starting 1 thread
Jobs: 1 (f=1): [R(1)][67.7%][r=3408MiB/s][r=27.3k IOPS][eta 01m:33s]Jobs: 1 (f=1): [R(1)][68.1%][r=3391MiB/s][r=27.1k IOPS][eta 01m:32s] 
Jobs: 1 (f=1): [R(1)][68.4%][r=3385MiB/s][r=27.1k IOPS][eta 01m:31s]Jobs: 1 (f=1): [R(1)][68.8%][r=3399MiB/s][r=27.2k IOPS][eta 01m:30s] 
Jobs: 1 (f=1): [R(1)][69.1%][r=3400MiB/s][r=27.2k IOPS][eta 01m:29s]Jobs: 1 (f=1): [R(1)][69.4%][r=3377MiB/s][r=27.0k IOPS][eta 01m:28s] 
Jobs: 1 (f=1): [R(1)][69.8%][r=3389MiB/s][r=27.1k IOPS][eta 01m:27s]Jobs: 1 (f=1): [R(1)][70.1%][r=3400MiB/s][r=27.2k IOPS][eta 01m:26s] 
Jobs: 1 (f=1): [R(1)][70.5%][r=3414MiB/s][r=27.3k IOPS][eta 01m:25s]Jobs: 1 (f=1): [R(1)][70.8%][r=3397MiB/s][r=27.2k IOPS][eta 01m:24s] 
Jobs: 1 (f=1): [R(1)][71.2%][r=3406MiB/s][r=27.2k IOPS][eta 01m:23s]Jobs: 1 (f=1): [R(1)][71.5%][r=3411MiB/s][r=27.3k IOPS][eta 01m:22s] 
Jobs: 1 (f=1): [R(1)][71.9%][r=3396MiB/s][r=27.2k IOPS][eta 01m:21s]Jobs: 1 (f=1): [R(1)][72.2%][r=3394MiB/s][r=27.1k IOPS][eta 01m:20s] 
Jobs: 1 (f=1): [R(1)][72.6%][r=3402MiB/s][r=27.2k IOPS][eta 01m:19s]Jobs: 1 (f=1): [R(1)][72.9%][r=3405MiB/s][r=27.2k IOPS][eta 01m:18s] 
Jobs: 1 (f=1): [R(1)][73.3%][r=3408MiB/s][r=27.3k IOPS][eta 01m:17s]Jobs: 1 (f=1): [R(1)][73.6%][r=3407MiB/s][r=27.3k IOPS][eta 01m:16s] 
Jobs: 1 (f=1): [R(1)][74.0%][r=3393MiB/s][r=27.1k IOPS][eta 01m:15s]Jobs: 1 (f=1): [R(1)][74.3%][r=3393MiB/s][r=27.1k IOPS][eta 01m:14s] 
Jobs: 1 (f=1): [R(1)][74.7%][r=3395MiB/s][r=27.2k IOPS][eta 01m:13s]Jobs: 1 (f=1): [R(1)][75.0%][r=3395MiB/s][r=27.2k IOPS][eta 01m:12s] 
Jobs: 1 (f=1): [R(1)][75.3%][r=3396MiB/s][r=27.2k IOPS][eta 01m:11s]Jobs: 1 (f=1): [R(1)][75.7%][r=3394MiB/s][r=27.1k IOPS][eta 01m:10s] 
Jobs: 1 (f=1): [R(1)][76.0%][r=3373MiB/s][r=26.0k IOPS][eta 01m:09s]Jobs: 1 (f=1): [R(1)][76.4%][r=3379MiB/s][r=27.0k IOPS][eta 01m:08s] 
Jobs: 1 (f=1): [R(1)][76.7%][r=3394MiB/s][r=27.2k IOPS][eta 01m:07s]Jobs: 1 (f=1): [R(1)][77.1%][r=3396MiB/s][r=27.2k IOPS][eta 01m:06s] 
Jobs: 1 (f=1): [R(1)][77.4%][r=3395MiB/s][r=27.2k IOPS][eta 01m:05s]Jobs: 1 (f=1): [R(1)][77.8%][r=3398MiB/s][r=27.2k IOPS][eta 01m:04s] 
Jobs: 1 (f=1): [R(1)][78.1%][r=3402MiB/s][r=27.2k IOPS][eta 01m:03s]Jobs: 1 (f=1): [R(1)][78.5%][r=3403MiB/s][r=27.2k IOPS][eta 01m:02s] 
Jobs: 1 (f=1): [R(1)][78.8%][r=3417MiB/s][r=27.3k IOPS][eta 01m:01s]Jobs: 1 (f=1): [R(1)][79.2%][r=3396MiB/s][r=27.2k IOPS][eta 01m:00s] 
Jobs: 1 (f=1): [R(1)][79.5%][r=3423MiB/s][r=27.4k IOPS][eta 00m:59s]Jobs: 1 (f=1): [R(1)][79.9%][r=3421MiB/s][r=27.4k IOPS][eta 00m:58s] 
Jobs: 1 (f=1): [R(1)][80.2%][r=3411MiB/s][r=27.3k IOPS][eta 00m:57s]Jobs: 1 (f=1): [R(1)][80.6%][r=3413MiB/s][r=27.3k IOPS][eta 00m:56s] 
Jobs: 1 (f=1): [R(1)][80.9%][r=3394MiB/s][r=27.2k IOPS][eta 00m:55s]Jobs: 1 (f=1): [R(1)][81.2%][r=3398MiB/s][r=27.2k IOPS][eta 00m:54s] 
Jobs: 1 (f=1): [R(1)][81.6%][r=3405MiB/s][r=27.2k IOPS][eta 00m:53s]Jobs: 1 (f=1): [R(1)][81.9%][r=3395MiB/s][r=27.2k IOPS][eta 00m:52s] 
Jobs: 1 (f=1): [R(1)][82.3%][r=3401MiB/s][r=27.2k IOPS][eta 00m:51s]Jobs: 1 (f=1): [R(1)][82.6%][r=3409MiB/s][r=27.3k IOPS][eta 00m:50s] 
Jobs: 1 (f=1): [R(1)][83.0%][r=3406MiB/s][r=27.2k IOPS][eta 00m:49s]Jobs: 1 (f=1): [R(1)][83.3%][r=3394MiB/s][r=27.1k IOPS][eta 00m:48s] 
Jobs: 1 (f=1): [R(1)][83.7%][r=3400MiB/s][r=27.2k IOPS][eta 00m:47s]Jobs: 1 (f=1): [R(1)][84.0%][r=3408MiB/s][r=27.3k IOPS][eta 00m:46s] 
Jobs: 1 (f=1): [R(1)][84.4%][r=3398MiB/s][r=27.2k IOPS][eta 00m:45s]Jobs: 1 (f=1): [R(1)][84.7%][r=3382MiB/s][r=27.1k IOPS][eta 00m:44s] 
Jobs: 1 (f=1): [R(1)][85.1%][r=3400MiB/s][r=27.2k IOPS][eta 00m:43s]Jobs: 1 (f=1): [R(1)][85.4%][r=3398MiB/s][r=27.2k IOPS][eta 00m:42s] 
Jobs: 1 (f=1): [R(1)][85.8%][r=3399MiB/s][r=27.2k IOPS][eta 00m:41s]Jobs: 1 (f=1): [R(1)][86.1%][r=3389MiB/s][r=27.1k IOPS][eta 00m:40s] 
Jobs: 1 (f=1): [R(1)][86.5%][r=3361MiB/s][r=26.9k IOPS][eta 00m:39s]Jobs: 1 (f=1): [R(1)][86.8%][r=3392MiB/s][r=27.1k IOPS][eta 00m:38s] 
